"d_essential_rank_tert","CASE_REPORTED_DATE_UPDATE","total_new_case","total_cum_case","Population","total_new_case100k","total_cum_caseper100k","rolling_newcases_100k"
1,2020-05-03,11,979,901839,1.21972990744468,108.555961762576,1.91671842598449
1,2020-05-04,17,996,901839,1.88503712968723,110.440998892263,1.80583388894407
1,2020-05-05,20,1016,901839,2.2176907408085,112.658689633072,1.98008101857902
1,2020-05-06,16,1032,901839,1.7741525926468,114.432842225719,1.96424037043039
1,2020-05-07,14,1046,901839,1.55238351856595,115.985225744285,1.90087777783586
1,2020-05-08,27,1073,901839,2.99388250009148,118.979108244376,1.78999324079543
1,2020-05-09,19,1092,901839,2.10680620376808,121.085914448144,1.53654287041732
1,2020-05-10,7,1099,901839,0.776191759282976,121.862106207427,1.53654287041732
1,2020-05-11,10,1109,901839,1.10884537040425,122.970951577832,1.47318027782279
1,2020-05-12,4,1113,901839,0.443538148161701,123.414489725993,1.14052666670152
1,2020-05-13,16,1129,901839,1.7741525926468,125.18864231864,0.982120185215194
1,2020-05-14,10,1139,901839,1.10884537040425,126.297487689044,0.997960833363827
1,2020-05-15,6,1145,901839,0.665307222242551,126.962794911287,1.02964212966109
1,2020-05-16,9,1154,901839,0.997960833363827,127.960755744651,1.4256583333769
1,2020-05-17,8,1162,901839,0.887076296323401,128.847832040974,1.56822416671458
1,2020-05-18,12,1174,901839,1.3306144444851,130.178446485459,1.56822416671458
1,2020-05-19,29,1203,901839,3.21565157417233,133.394098059631,1.66326805560638
1,2020-05-20,25,1228,901839,2.77211342601063,136.166211485642,1.78999324079543
1,2020-05-21,10,1238,901839,1.10884537040425,137.275056856046,1.8691964815386
1,2020-05-22,12,1250,901839,1.3306144444851,138.605671300531,1.91671842598449
1,2020-05-23,17,1267,901839,1.88503712968723,140.490708430219,1.61574611116048
1,2020-05-24,13,1280,901839,1.44149898152553,141.932207411744,1.39397703707963
1,2020-05-25,15,1295,901839,1.66326805560638,143.595475467351,1.45733962967416
1,2020-05-26,10,1305,901839,1.10884537040425,144.704320837755,1.59990546301185
1,2020-05-27,11,1316,901839,1.21972990744468,145.9240507452,1.56822416671458
1,2020-05-28,14,1330,901839,1.55238351856595,147.476434263765,1.53654287041732
1,2020-05-29,21,1351,901839,2.32857527784893,149.805009541614,1.50486157412006
1,2020-05-30,15,1366,901839,1.66326805560638,151.468277597221,1.55238351856595
1,2020-05-31,11,1377,901839,1.21972990744468,152.688007504665,1.61574611116048
1,2020-06-01,13,1390,901839,1.44149898152553,154.129506486191,1.63158675930911
1,2020-06-02,13,1403,901839,1.44149898152553,155.571005467717,1.63158675930911
1,2020-06-03,15,1418,901839,1.66326805560638,157.234273523323,1.59990546301185
1,2020-06-04,15,1433,901839,1.66326805560638,158.897541578929,1.56822416671458
1,2020-06-05,21,1454,901839,2.32857527784893,161.226116856778,1.50486157412006
1,2020-06-06,13,1467,901839,1.44149898152553,162.667615838304,1.4256583333769
1,2020-06-07,9,1476,901839,0.997960833363827,163.665576671668,1.20388925929604
1,2020-06-08,9,1485,901839,0.997960833363827,164.663537505031,1.04548277780972
1,2020-06-09,8,1493,901839,0.887076296323401,165.550613801355,0.776191759282976
1,2020-06-10,1,1494,901839,0.110884537040425,165.661498338395,0.681147870391183
1,2020-06-11,5,1499,901839,0.554422685202126,166.215921023597,0.633625925945287
1,2020-06-12,4,1503,901839,0.443538148161701,166.659459171759,0.58610398149939
1,2020-06-13,7,1510,901839,0.776191759282976,167.435650931042,0.58610398149939
1,2020-06-14,6,1516,901839,0.665307222242551,168.100958153285,0.72866981483708
1,2020-06-15,6,1522,901839,0.665307222242551,168.766265375527,0.72866981483708
1,2020-06-16,8,1530,901839,0.887076296323401,169.653341671851,0.712829166688447
1,2020-06-17,10,1540,901839,1.10884537040425,170.762187042255,0.696988518539815
1,2020-06-18,5,1545,901839,0.554422685202126,171.316609727457,0.633625925945287
1,2020-06-19,3,1548,901839,0.332653611121276,171.649263338578,0.601944629648022
1,2020-06-20,6,1554,901839,0.665307222242551,172.314570560821,0.58610398149939
1,2020-06-21,2,1556,901839,0.22176907408085,172.536339634902,0.522741388904861
1,2020-06-22,4,1560,901839,0.443538148161701,172.979877783063,0.570263333350758
1,2020-06-23,7,1567,901839,0.776191759282976,173.756069542346,0.665307222242551
1,2020-06-24,6,1573,901839,0.665307222242551,174.421376764589,0.760351111134344
1,2020-06-25,8,1581,901839,0.887076296323401,175.308453060912,0.776191759282976
1,2020-06-26,9,1590,901839,0.997960833363827,176.306413894276,0.792032407431608
1,2020-06-27,12,1602,901839,1.3306144444851,177.637028338761,0.80787305558024
1,2020-06-28,3,1605,901839,0.332653611121276,177.969681949882,0.80787305558024
1,2020-06-29,5,1610,901839,0.554422685202126,178.524104635085,0.776191759282976
1,2020-06-30,8,1618,901839,0.887076296323401,179.411180931408,0.72866981483708
1,2020-07-01,6,1624,901839,0.665307222242551,180.07648815365,0.570263333350758
1,2020-07-02,6,1630,901839,0.665307222242551,180.741795375893,0.617785277796654
1,2020-07-03,6,1636,901839,0.665307222242551,181.407102598136,0.617785277796654
1,2020-07-04,2,1638,901839,0.22176907408085,181.628871672216,0.58610398149939
1,2020-07-05,6,1644,901839,0.665307222242551,182.294178894459,0.570263333350758
1,2020-07-06,5,1649,901839,0.554422685202126,182.848601579661,0.522741388904861
1,2020-07-07,6,1655,901839,0.665307222242551,183.513908801904,0.506900740756229
1,2020-07-08,5,1660,901839,0.554422685202126,184.068331487106,0.522741388904861
1,2020-07-09,3,1663,901839,0.332653611121276,184.400985098227,0.506900740756229
1,2020-07-10,5,1668,901839,0.554422685202126,184.955407783429,0.491060092607597
1,2020-07-11,3,1671,901839,0.332653611121276,185.28806139455,0.459378796310333
1,2020-07-12,5,1676,901839,0.554422685202126,185.842484079753,0.427697500013068
1,2020-07-13,4,1680,901839,0.443538148161701,186.286022227914,0.554422685202126
1,2020-07-14,4,1684,901839,0.443538148161701,186.729560376076,0.538582037053494
1,2020-07-15,3,1687,901839,0.332653611121276,187.062213987197,0.554422685202126
1,2020-07-16,11,1698,901839,1.21972990744468,188.281943894642,0.491060092607597
1,2020-07-17,4,1702,901839,0.443538148161701,188.725482042804,0.522741388904861
1,2020-07-18,4,1706,901839,0.443538148161701,189.169020190965,0.538582037053494
1,2020-07-19,1,1707,901839,0.110884537040425,189.279904728006,0.522741388904861
1,2020-07-20,6,1713,901839,0.665307222242551,189.945211950248,0.491060092607597
1,2020-07-21,5,1718,901839,0.554422685202126,190.49963463545,0.58610398149939
1,2020-07-22,2,1720,901839,0.22176907408085,190.721403709531,0.617785277796654
1,2020-07-23,9,1729,901839,0.997960833363827,191.719364542895,0.633625925945287
1,2020-07-24,10,1739,901839,1.10884537040425,192.828209913299,0.538582037053494
1,2020-07-25,6,1745,901839,0.665307222242551,193.493517135542,0.475219444458965
1,2020-07-26,2,1747,901839,0.22176907408085,193.715286209623,0.491060092607597
1,2020-07-27,0,1747,901839,0,193.715286209623,0.380175555567172
1,2020-07-28,1,1748,901839,0.110884537040425,193.826170746663,0.285131666675379
1,2020-07-29,3,1751,901839,0.332653611121276,194.158824357784,0.253450370378115
1,2020-07-30,2,1753,901839,0.22176907408085,194.380593431865,0.237609722229482
1,2020-07-31,4,1757,901839,0.443538148161701,194.824131580027,0.269291018526747
1,2020-08-01,4,1761,901839,0.443538148161701,195.267669728189,0.285131666675379
1,2020-08-02,1,1762,901839,0.110884537040425,195.378554265229,0.316812962972643
1,2020-08-03,2,1764,901839,0.22176907408085,195.60032333931,0.380175555567172
1,2020-08-04,2,1766,901839,0.22176907408085,195.822092413391,0.396016203715804
1,2020-08-05,5,1771,901839,0.554422685202126,196.376515098593,0.396016203715804
1,2020-08-06,6,1777,901839,0.665307222242551,197.041822320836,0.396016203715804
1,2020-08-07,5,1782,901839,0.554422685202126,197.596245006038,0.411856851864436
