"d_essential_rank_tert","CLIENT_DEATH_DATE","total_new_death","total_cum_death","Population","total_new_death100k","total_cum_deathper100k","rolling_newdeah_100k"
2,2020-12-05,1,581,928581,0.107691197644578,62.5685858314999,0.215382395289156
2,2020-12-06,3,584,928581,0.323073592933734,62.8916594244336,0.199997938482788
2,2020-12-07,0,584,928581,0,62.8916594244336,0.199997938482788
2,2020-12-08,1,585,928581,0.107691197644578,62.9993506220782,0.18461348167642
2,2020-12-09,2,587,928581,0.215382395289156,63.2147330173674,0.215382395289156
2,2020-12-10,2,589,928581,0.215382395289156,63.4301154126565,0.169229024870051
2,2020-12-11,3,592,928581,0.323073592933734,63.7531890055902,0.199997938482788
2,2020-12-12,3,595,928581,0.323073592933734,64.076262598524,0.230766852095525
2,2020-12-13,0,595,928581,0,64.076262598524,0.246151308901893
2,2020-12-14,2,597,928581,0.215382395289156,64.2916449938132,0.276920222514629
2,2020-12-15,3,600,928581,0.323073592933734,64.6147185867469,0.292304679320998
2,2020-12-16,3,603,928581,0.323073592933734,64.9377921796806,0.292304679320998
2,2020-12-17,4,607,928581,0.430764790578312,65.3685569702589,0.307689136127366
2,2020-12-18,4,611,928581,0.430764790578312,65.7993217608372,0.307689136127366
2,2020-12-19,3,614,928581,0.323073592933734,66.122395353771,0.353842506546471
2,2020-12-20,1,615,928581,0.107691197644578,66.2300865514155,0.307689136127366
2,2020-12-21,2,617,928581,0.215382395289156,66.4454689467047,0.292304679320998
2,2020-12-22,6,623,928581,0.646147185867469,67.0916161325722,0.261535765708261
2,2020-12-23,0,623,928581,0,67.0916161325722,0.276920222514629
2,2020-12-24,3,626,928581,0.323073592933734,67.4146897255059,0.276920222514629
2,2020-12-25,2,628,928581,0.215382395289156,67.6300721207951,0.276920222514629
2,2020-12-26,4,632,928581,0.430764790578312,68.0608369113734,0.215382395289156
2,2020-12-27,1,633,928581,0.107691197644578,68.168528109018,0.230766852095525
2,2020-12-28,2,635,928581,0.215382395289156,68.3839105043071,0.261535765708261
2,2020-12-29,2,637,928581,0.215382395289156,68.5992928995963,0.261535765708261
2,2020-12-30,1,638,928581,0.107691197644578,68.7069840972408,0.261535765708261
2,2020-12-31,5,643,928581,0.538455988222891,69.2454400854637,0.307689136127366
